adj,noun,count
close,friend,11114
most,part,11068
long,term,11050
long,leg,11033
dim,light,11031
red,light,10963
bad,guy,10953
past,day,10904
good,place,10901
damn,thing,10891
real,life,10822
first,night,10760
dead,body,10734
cold,water,10704
bad,idea,10684
opposite,direction,10668
other,night,10660
back,seat,10604
small,table,10562
good,girl,10538
old,boy,10492
many,man,10438
several,year,10365
several,day,10333
quick,glance,10063
bright,light,10026
old,brother,10024
last,hour,9997
closed,door,9944
front,seat,9936
double,door,9891
open,window,9833
real,estate,9794
past,month,9770
good,one,9737
first,year,9732
real,name,9723
white,man,9719
third,time,9706
long,breath,9694
more,thing,9661
more,people,9653
bright,eye,9638
more,question,9619
big,eye,9610
own,eye,9569
gray,eye,9504
new,friend,9408
blue,sky,9398
second,thought,9395
soft,voice,9387
old,day,9257
small,group,9225
other,member,9215
late,afternoon,9161
large,room,9009
few,foot,8937
other,room,8872
next,month,8871
several,hour,8845
last,moment,8843
half,dozen,8840
white,hair,8806
first,step,8778
more,information,8744
old,house,8739
young,brother,8732
short,hair,8725
real,world,8707
more,money,8682
other,reason,8650
young,boy,8576
brief,moment,8534
good,chance,8517
only,time,8516
last,name,8512
haired,man,8495
several,second,8469
young,people,8434
much,money,8432
different,way,8423
good,guy,8399
next,minute,8399
far,wall,8387
first,floor,8385
handsome,man,8378
short,distance,8366
old,girl,8336
full,time,8255
common,sense,8178
thick,hair,8134
front,porch,8099
other,place,8038
right,place,8033
full,moon,8027
long,finger,7960
black,man,7948
third,floor,7936
little,sister,7902
upper,arm,7896
late,night,7865
broad,shoulder,7812
cold,air,7801
first,name,7790
nineteenth,century,7774
little,brother,7752
gray,hair,7686
good,part,7685
enough,money,7638
many,other,7590
safe,place,7567
other,half,7552
other,part,7552
much,trouble,7545
gloved,hand,7532
strange,thing,7521
main,road,7460
close,look,7450
small,talk,7400
other,person,7377
large,man,7314
low,level,7295
same,place,7286
look,man,7272
single,word,7246
whole,story,7208
long,while,7204
long,pause,7184
big,one,7183
naked,body,7174
open,space,7160
good,evening,7112
much,attention,7083
bad,luck,7049
strong,arm,7044
right,word,7032
white,light,7011
big,hand,6987
many,question,6971
small,man,6967
first,man,6966
old,one,6954
big,guy,6952
first,class,6948
long,story,6945
own,body,6926
small,child,6915
cool,air,6909
good,work,6905
next,step,6899
back,pocket,6885
handsome,face,6841
high,level,6832
entire,time,6832
write,permission,6832
terrible,thing,6818
long,table,6781
own,voice,6772
good,people,6769
long,line,6754
plastic,bag,6751
good,boy,6735
own,business,6703
own,thought,6685
white,tooth,6681
big,house,6674
long,silence,6664
good,sign,6646
long,night,6638
back,room,6637
dead,end,6627
human,form,6612
twentieth,century,6609
much,fun,6594
early,day,6589
previous,night,6586
other,child,6570
upper,lip,6561
slow,motion,6553
new,home,6545
wrong,way,6502
own,mind,6484
other,one,6469
very,moment,6465
far,corner,6444
strong,hand,6428
familiar,voice,6408
different,kind,6405
several,moment,6397
short,story,6391
straight,line,6367
large,hand,6352
new,world,6350
next,room,6336
other,kid,6324
own,people,6323
right,time,6311
first,thought,6308
many,woman,6302
last,one,6299
poor,man,6288
little,kid,6274
curly,hair,6274
first,week,6271
red,eye,6257
next,move,6238
quick,look,6233
old,time,6232
own,room,6229
same,day,6226
little,room,6221
easy,way,6199
haired,woman,6198
full,lip,6137
most,man,6125
old,age,6124
full,length,6104
last,look,6103
only,sound,6100
first,person,6099
large,eye,6092
serial,killer,6086
mental,note,6066
blue,light,6045
only,man,6008
young,child,5998
black,hole,5995
real,thing,5957
good,point,5956
main,room,5928
only,place,5902
thin,line,5887
real,reason,5886
hazel,eye,5882
only,child,5880
pale,skin,5878
good,fortune,5876
same,man,5874
outside,world,5853
large,number,5852
high,heel,5850
long,distance,5846
front,window,5842
pale,face,5841
same,moment,5831
many,hour,5820
loud,voice,5811
other,boy,5774
wooden,door,5738
big,time,5736
pale,eye,5734
old,guy,5725
long,hour,5724
pretty,girl,5697
great,hall,5697
few,question,5685
sit,room,5655
poor,girl,5647
top,floor,5645
empty,bottle,5639
big,smile,5614
heavy,door,5609
holy,shit,5603
middle,class,5587
full,attention,5585
own,mother,5582
left,shoulder,5574
empty,space,5566
own,home,5563
black,dress,5549
entire,world,5544
sit,position,5520
good,sense,5516
nice,guy,5500
past,hour,5478
safe,house,5455
little,smile,5429
front,room,5421
good,care,5418
several,month,5413
fat,man,5408
small,amount,5406
good,interest,5376
many,day,5373
empty,room,5342
black,shirt,5335
old,sister,5323
great,thing,5316
several,people,5315
little,way,5311
well,look,5305
small,piece,5304
young,sister,5299
front,page,5296
same,room,5281
wrong,thing,5240
good,question,5239
bare,hand,5238
other,arm,5237
bare,skin,5231
rich,man,5222
dear,friend,5213
gritted,tooth,5208
full,force,5205
few,mile,5199
front,step,5192
small,voice,5188
other,choice,5185
beautiful,eye,5184
great,man,5182
whole,day,5181
human,race,5179
tall,woman,5172
little,one,5170
second,chance,5165
last,chance,5161
right,way,5155
least,bit,5151
empty,glass,5139
civil,war,5134
own,house,5132
last,person,5132
big,thing,5131
small,hand,5125
bad,day,5118
strong,man,5107
own,father,5099
male,voice,5098
short,while,5096
more,trouble,5096
beautiful,girl,5075
small,part,5075
long,look,5055
left,eye,5054
only,chance,5028
good,hand,5015
right,shoulder,5013
well,way,5010
love,one,5008
bloody,hell,5006
stainless,steel,5004
short,man,5004
other,direction,5000
open,doorway,4989
same,reason,4985
bad,dream,4982
different,direction,4982
little,house,4981
whole,family,4960
small,box,4954
thin,air,4945
own,good,4940
poor,thing,4935
black,suit,4934
small,boy,4929
first,meeting,4919
green,light,4916
previous,day,4911
new,job,4887
own,blood,4876
several,week,4870
other,world,4864
more,man,4861
small,house,4855
only,hope,4842
well,part,4837
last,couple,4836
stupid,thing,4831
other,ship,4829
own,time,4822
quiet,voice,4822
old,people,4820
first,date,4812
same,kind,4803
small,thing,4802
big,city,4799
warm,water,4796
right,leg,4791
tiny,bit,4786
next,word,4785
long,run,4782
red,wine,4773
only,people,4764
clench,tooth,4763
more,minute,4758
last,bit,4755
different,thing,4752
human,body,4749
faint,smile,4734
long,sigh,4721
personal,life,4719
bad,time,4715
same,one,4714
other,option,4713
dark,room,4709
own,child,4705
beautiful,face,4685
own,word,4679
young,son,4678
own,family,4677
hot,dog,4674
great,idea,4663
long,minute,4659
more,sense,4655
familiar,face,4641
long,journey,4639
sleep,bag,4637
true,love,4636
high,wall,4631
private,room,4630
pretty,face,4619
own,heart,4611
wide,smile,4605
same,question,4602
old,son,4593
own,accord,4589
next,moment,4587
high,speed,4587
long,shot,4585
own,name,4584
senior,officer,4580
possible,way,4577
narrow,street,4573
right,direction,4549
small,one,4543
big,brother,4543
more,day,4539
small,window,4529
shake,hand,4520
long,walk,4518
small,space,4499
bad,feeling,4493
first,word,4486
more,reason,4478
funny,thing,4473
first,light,4473
few,inch,4465
open,mouth,4450
old,building,4448
armed,man,4447
same,age,4441
bad,boy,4441
little,town,4440
slide,door,4438
same,person,4437
rear,door,4424
damned,thing,4423
more,attention,4423
long,year,4415
human,life,4413
last,summer,4411
big,problem,4360
soft,skin,4354
well,idea,4345
sure,thing,4343
left,leg,4342
female,voice,4341
deep,sleep,4338
dark,suit,4332
slow,breath,4331
bad,part,4330
other,officer,4324
smooth,skin,4321
follow,morning,4318
right,eye,4307
aged,man,4302
thin,man,4301
warm,smile,4299
low,growl,4294
soft,kiss,4290
mobile,phone,4288
normal,life,4287
little,piece,4281
new,place,4277
young,one,4271
bright,red,4269
own,head,4263
certain,amount,4249
eighteenth,century,4244
light,year,4242
blue,jean,4239
early,hour,4238
hot,chocolate,4218
poor,woman,4214
half,smile,4210
dark,shadow,4204
main,entrance,4197
hard,way,4196
wild,animal,4169
slow,smile,4168
open,air,4157
first,sight,4155
dark,side,4151
narrow,eye,4150
well,place,4143
bottom,line,4140
few,man,4137
whole,place,4137
own,son,4130
own,bed,4129
more,hour,4129
second,man,4128
upper,body,4125
opposite,end,4122
strange,man,4111
cold,wind,4107
right,foot,4104
large,window,4095
big,boy,4093
solar,system,4081
last,part,4079
main,street,4078
other,country,4069
broken,glass,4067
actual,person,4066
good,measure,4062
black,smoke,4062
much,pain,4061
young,officer,4059
other,stuff,4056
good,shot,4051
cold,night,4046
first,century,4041
hard,cock,4037
blue,shirt,4035
wrong,place,4028
slight,smile,4026
new,thing,4025
back,wall,4016
middle,finger,4011
second,day,4009
more,detail,4002
live,thing,4000
first,one,3998
full,minute,3996
good,afternoon,3991
single,day,3989
short,term,3986
small,bag,3984
golden,hair,3980
good,mood,3980
big,mistake,3979
main,door,3965
old,way,3964
yellow,light,3963
quick,kiss,3960
new,way,3951
sharp,breath,3948
sharp,tooth,3946
safe,distance,3940
font,style,3939
light,switch,3934
loose,end,3934
own,face,3929
long,life,3927
white,dress,3921
only,woman,3919
little,guy,3914
own,world,3912
bearded,man,3902
several,foot,3892
follow,day,3871
great,power,3870
full,height,3864
bald,head,3861
great,grandfather,3856
good,person,3854
deep,sigh,3849
yellow,eye,3843
upper,hand,3842
nice,thing,3841
first,glance,3840
inner,thigh,3836
free,time,3836
next,question,3831
other,car,3819
most,woman,3817
free,will,3808
wooden,floor,3805
more,power,3804
bare,chest,3799
full,day,3794
several,man,3787
wooden,table,3785
powerful,man,3785
long,stride,3782
last,second,3781
dark,cloud,3775
set,sun,3775
much,work,3769
low,tone,3768
dark,shape,3767
own,man,3764
social,worker,3760
awful,lot,3759
new,house,3756
deep,water,3753
high,ground,3751
first,moment,3748
dead,woman,3744
entire,family,3741
dark,corner,3733
enough,room,3733
good,life,3732
nice,man,3720
warm,air,3720
little,finger,3716
full,speed,3710
other,none,3703
sharp,eye,3698
hot,breath,3695
own,kind,3695
french,door,3694
third,day,3693
elderly,man,3689
common,room,3685
front,line,3681
half,way,3677
sharp,pain,3677
long,range,3674
main,house,3673
wet,hair,3671
first,sign,3665
cold,eye,3662
warm,hand,3662
new,arrival,3660
sad,smile,3658
iced,tea,3654
wrong,side,3632
white,face,3630
more,dozen,3628
long,arm,3626
well,chance,3625
good,stuff,3624
bright,smile,3611
bad,way,3603
hard,look,3601
awkward,silence,3590
short,notice,3573
long,period,3566
much,blood,3565
deep,eye,3556
front,desk,3555
large,part,3534
golden,eye,3532
first,month,3531
round,face,3529
following,day,3522
new,man,3519
own,foot,3518
last,man,3510
left,foot,3507
aged,woman,3500
wooden,chair,3493
other,guest,3492
general,direction,3491
attractive,woman,3491
fast,food,3479
hard,thing,3473
little,voice,3472
great,time,3470
grey,eye,3469
answer,machine,3466
different,story,3464
only,problem,3457
small,boat,3454
many,place,3452
whole,situation,3448
blind,man,3448
other,friend,3448
old,daughter,3441
bad,case,3440
half,brother,3438
old,school,3433
certain,thing,3431
wrought,iron,3431
good,plan,3428
calm,voice,3424
whole,way,3421
hot,air,3420
bald,man,3416
black,boot,3416
eld,son,3416
own,daughter,3412
last,breath,3408
single,thing,3406
dry,blood,3399
human,nature,3398
heavy,sigh,3396
opposite,wall,3395
grown,man,3391
front,yard,3390
early,evening,3388
dark,place,3388
big,room,3381
more,way,3375
bad,man,3371
tall,tree,3368
good,woman,3367
full,room,3360
right,one,3359
high,tech,3355
hard,part,3355
dark,circle,3354
sharp,edge,3350
concrete,floor,3348
nice,place,3345
such,matter,3338
beautiful,thing,3334
teenage,girl,3334
only,option,3334
look,woman,3330
regular,basis,3327
own,right,3327
warm,breath,3326
tall,figure,3323
first,impression,3321
elderly,woman,3311
old,life,3311
good,shape,3311
wide,grin,3307
high,cheekbone,3304
same,direction,3304
clear,sky,3302
first,aid,3298
front,gate,3296
great,distance,3295
young,couple,3294
new,clothe,3289
large,group,3286
prime,minister,3285
dark,night,3277
great,pleasure,3275
next,night,3274
peripheral,vision,3269
much,power,3259
same,spot,3259
medical,examiner,3257
other,matter,3254
blue,dress,3245
many,month,3244
early,year,3242
wise,man,3240
stain,glass,3238
close,thing,3236
broad,smile,3234
weak,smile,3233
white,wall,3230
cold,sweat,3229
difficult,time,3228
well,view,3224
soft,sound,3223
important,part,3223
own,place,3220
more,step,3218
real,time,3210
good,food,3207
good,choice,3195
private,investigator,3191
first,page,3190
good,view,3188
raise,eyebrow,3182
outer,door,3174
warm,body,3171
long,corridor,3171
royal,family,3169
right,mind,3165
tall,grass,3164
clear,view,3163
dark,wood,3163
first,officer,3156
thin,lip,3155
back,chair,3153
dark,water,3153
close,eye,3151
long,drive,3150
white,wine,3149
overhead,light,3146
back,porch,3141
first,book,3136
such,force,3135
main,gate,3133
great,job,3131
less,time,3122
new,car,3122
old,book,3118
shaky,breath,3118
broken,heart,3112
empty,chair,3111
new,information,3110
only,light,3108
more,work,3105
straight,face,3104
outer,wall,3101
much,information,3099
right,angle,3098
locked,door,3095
previous,year,3094
other,plan,3093
rental,car,3092
many,friend,3091
small,fire,3089
small,area,3085
own,will,3081
different,place,3079
same,color,3078
fourth,floor,3076
nice,girl,3073
firm,grip,3073
few,yard,3068
next,couple,3066
dark,glass,3065
great,care,3063
black,coat,3061
own,fault,3061
other,kind,3059
good,use,3057
full,mouth,3056
first,shot,3055
black,pant,3055
pregnant,woman,3054
more,word,3048
dark,skin,3047
more,year,3047
long,list,3044
part,time,3042
actual,event,3040
faint,sound,3040
happy,ending,3039
soft,lip,3038
recent,year,3038
red,dress,3036
seventeenth,century,3032
gap,hole,3031
good,effort,3030
sleeve,shirt,3023
little,lady,3021
dark,figure,3019
private,life,3012
soft,light,3006
fresh,water,3006
good,story,3004
fair,share,3003
first,kiss,3002
well,thing,2997
martial,art,2997
high,ceiling,2995
last,place,2991
very,thing,2990
full,view,2988
blue,suit,2987
first,part,2986
horrible,thing,2979
wrong,time,2979
different,world,2978
main,building,2974
other,creature,2974
remote,control,2974
hot,shower,2968
social,life,2968
good,eye,2967
old,self,2965
most,day,2961
own,power,2960
hot,day,2954
right,decision,2953
smile,face,2946
high,point,2941
great,room,2941
first,wife,2939
few,night,2937
hardwood,floor,2935
red,lip,2933
wavy,hair,2929
broad,daylight,2928
high,heat,2928
own,age,2927
large,table,2925
such,time,2924
tight,smile,2920
cool,water,2918
other,book,2917
brave,man,2916
real,man,2914
white,skin,2911
large,house,2911
new,idea,2911
large,one,2910
crooked,smile,2909
good,intention,2909
good,money,2904
low,table,2898
small,woman,2896
strange,feeling,2895
top,drawer,2891
long,coat,2891
medical,school,2891
comic,book,2888
long,drink,2886
enough,light,2885
broad,chest,2882
little,group,2878
cool,breeze,2877
front,entrance,2876
much,sense,2875
open,eye,2873
right,moment,2872
bare,shoulder,2872
married,man,2869
entire,day,2869
other,item,2867
great,number,2867
black,woman,2865
other,student,2863
little,hand,2863
white,robe,2859
well,man,2856
whole,town,2854
previous,evening,2850
dirty,work,2848
front,tooth,2848
strong,woman,2846
little,child,2842
good,health,2841
faint,light,2839
many,night,2838
small,circle,2837
first,hour,2837
armed,guard,2835
few,breath,2835
little,light,2833
back,window,2833
young,daughter,2831
wooden,box,2823
large,door,2823
full,eye,2817
font,weight,2816
husky,voice,2816
tidal,wave,2815
perfect,sense,2809
dear,life,2809
wonderful,thing,2807
run,water,2806
whole,truth,2806
high,end,2805
strange,way,2805
tall,building,2804
full,name,2804
other,guard,2803
loud,noise,2799
good,year,2798
black,bag,2798
watchful,eye,2796
haired,girl,2795
golden,light,2794
big,fan,2788
nervous,system,2786
little,dog,2786
whole,business,2786
little,face,2785
perfect,place,2784
sleepless,night,2783
real,problem,2783
second,hand,2782
long,second,2782
dark,face,2780
little,help,2779
black,robe,2778
close,range,2778
innocent,people,2777
other,name,2774
split,second,2773
large,building,2772
long,face,2772
only,difference,2768
ragged,breath,2765
broken,bone,2763
inside,pocket,2761
new,name,2760
hard,body,2757
old,thing,2756
command,officer,2754
little,laugh,2752
steady,stream,2752
black,leather,2751
many,word,2749
black,velvet,2747
beautiful,day,2743
own,ear,2742
whole,point,2742
huge,eye,2742
own,brother,2741
gray,suit,2739
bad,one,2738
more,room,2736
tiny,room,2735
young,age,2734
barbed,wire,2733
rock,chair,2729
much,damage,2729
old,story,2729
senior,year,2727
early,twenty,2724
little,bastard,2721
small,village,2718
dirty,look,2714
high,voice,2713
own,skin,2705
past,couple,2703
same,instant,2703
black,market,2702
armed,force,2702
south,side,2701
first,line,2699
same,look,2699
more,blood,2699
good,guess,2699
poor,guy,2698
much,thought,2694
short,skirt,2693
more,fun,2691
simple,thing,2691
high,profile,2690
sweet,scent,2685
clear,eye,2684
black,cloud,2683
very,end,2683
straight,hair,2671
only,friend,2670
third,man,2667
empty,house,2667
happy,birthday,2666
new,book,2666
hot,bath,2665
different,reason,2662
plain,sight,2660
more,water,2660
odd,thing,2658
dead,people,2657
red,brick,2653
low,wall,2653
facial,expression,2653
grey,hair,2650
old,child,2649
daily,basis,2648
big,girl,2646
good,humor,2643
different,person,2639
different,people,2639
bare,arm,2634
sweet,girl,2634
short,laugh,2633
new,day,2633
good,bet,2630
very,beginning,2630
double,take,2630
great,grandmother,2630
first,visit,2630
young,guy,2629
good,bye,2628
early,afternoon,2628
hot,tub,2628
large,scale,2618
single,person,2617
same,size,2615
black,jacket,2613
full,power,2607
more,couple,2606
white,coat,2605
final,word,2604
right,ear,2604
gentle,hand,2603
narrow,road,2601
left,ear,2597
public,place,2597
last,thought,2597
weird,thing,2597
cold,hand,2596
old,movie,2596
old,place,2596
other,group,2592
same,name,2588
rise,sun,2588
big,part,2584
sudden,change,2580
same,tone,2580
outstretched,hand,2579
little,money,2578
big,grin,2574
well,day,2574
naked,man,2574
real,people,2573
true,nature,2571
great,city,2571
own,death,2570
single,man,2567
alone,time,2566
faced,man,2563
first,question,2562
other,form,2561
good,name,2557
hard,line,2552
separate,way,2549
many,reason,2547
strange,look,2547
spare,time,2544
half,mile,2541
much,noise,2540
own,safety,2540
eld,brother,2537
big,picture,2536
long,stretch,2535
front,pocket,2535
empty,seat,2533
close,proximity,2533
easy,chair,2531
small,office,2529
single,file,2529
prior,permission,2528
married,woman,2528
close,quarter,2526
well,time,2526
several,step,2525
new,girl,2525
same,woman,2524
sweet,smile,2524
own,car,2522
elementary,school,2521
new,people,2520
much,help,2519
more,coffee,2518
last,step,2517
old,tree,2516
exact,moment,2516
wishful,thinking,2512
good,start,2511
near,future,2509
open,arm,2508
due,respect,2499
upper,class,2499
desperate,need,2498
only,part,2497
black,coffee,2493
little,table,2492
clean,clothe,2485
light,eye,2482
new,wife,2482
great,effort,2481
much,use,2481
other,door,2480
last,visit,2480
light,hair,2478
puzzled,look,2477
honest,man,2475
bare,leg,2475
little,bitch,2471
quick,smile,2470
soft,flesh,2469
naked,woman,2468
small,eye,2467
good,advice,2466
very,thought,2466
squad,car,2464
own,feeling,2461
long,shadow,2460
blind,eye,2459
long,hallway,2459
poor,bastard,2457
small,body,2456
large,piece,2456
different,time,2456
teenage,boy,2454
first,novel,2452
easy,thing,2450
other,soldier,2449
black,water,2447
more,wine,2446
high,price,2443
same,sort,2442
mashed,potato,2441
whole,room,2440
thin,face,2438
long,trip,2436
such,thought,2434
large,area,2433
white,blouse,2432
walk,stick,2431
much,choice,2429
good,feeling,2428
only,son,2428
few,friend,2426
young,friend,2426
other,circumstance,2425
third,party,2423
small,building,2422
first,hand,2421
low,half,2421
low,profile,2419
good,word,2417
large,tree,2416
first,woman,2411
new,guy,2410
free,man,2409
same,voice,2408
middle,school,2408
long,lash,2408
short,order,2407
small,figure,2406
laundry,room,2405
bad,shape,2403
same,word,2402
pretty,woman,2400
good,memory,2400
early,age,2400
rim,glass,2400
long,ride,2397
own,decision,2396
fresh,blood,2393
bad,habit,2390
uniformed,officer,2389
good,doctor,2389
deep,shadow,2389
other,question,2389
upper,floor,2389
nice,day,2388
last,drop,2388
tough,guy,2388
public,relation,2387
most,thing,2387
large,amount,2386
soft,hair,2386
fine,man,2383
public,school,2382
set,eye,2382
much,effort,2380
small,hole,2380
little,doubt,2379
big,day,2378
good,minute,2377
little,box,2376
silent,prayer,2376
final,time,2375
other,animal,2375
interesting,thing,2375
fair,hair,2372
main,hall,2372
sudden,movement,2371
short,walk,2371
good,grace,2369
black,hat,2368
stupid,question,2367
electronic,mean,2367
open,area,2365
past,time,2364
open,field,2361
sly,smile,2361
small,sound,2361
close,attention,2360
enough,food,2359
white,sheet,2358
dry,lip,2356
other,city,2354
dark,man,2353
large,bag,2351
several,other,2350
old,habit,2348
black,jean,2348
social,medium,2347
own,country,2346
next,stop,2346
more,tear,2344
great,friend,2342
poor,boy,2342
round,table,2340
long,neck,2339
red,face,2338
hard,drive,2338
sideways,glance,2337
sunny,day,2336
spare,room,2333
inner,circle,2332
backward,glance,2331
only,answer,2330
very,idea,2329
many,child,2329
well,job,2324
middle,age,2324
such,power,2323
slow,circle,2323
large,bowl,2323
open,palm,2323
dark,look,2322
other,passenger,2322
next,second,2322
own,experience,2321
soft,spot,2316
main,reason,2314
park,car,2314
whole,mess,2314
real,person,2312
very,edge,2307
few,dozen,2306
wrong,direction,2302
first,move,2301
top,button,2298
whole,house,2297
such,man,2297
clear,voice,2296
same,night,2295
little,friend,2295
small,door,2293
same,story,2292
high,rise,2290
nuclear,weapon,2289
short,sword,2286
sad,eye,2284
huge,smile,2284
same,position,2284
last,piece,2283
loud,sound,2280
eyed,man,2280
national,security,2279
old,gentleman,2276
bad,mood,2274
little,place,2274
first,love,2272
blond,man,2272
other,idea,2271
whole,bunch,2270
last,resort,2269
fine,line,2269
black,shoe,2269
second,half,2269
darken,room,2268
hard,man,2268
special,occasion,2265
little,body,2264
whole,night,2262
new,husband,2261
big,mouth,2261
old,room,2260
hard,on,2260
daily,life,2258
empty,cup,2257
good,foot,2256
more,pain,2254
big,gun,2254
tile,floor,2253
enough,man,2252
slow,pace,2251
little,woman,2251
different,color,2251
thick,glass,2251
stern,look,2250
sixteenth,century,2250
flat,screen,2250
entire,room,2249
such,people,2248
quick,shower,2247
own,sake,2246
different,type,2246
big,trouble,2245
hot,tear,2245
same,people,2245
first,minute,2243
very,day,2242
die,man,2240
common,knowledge,2239
other,life,2238
young,fellow,2238
long,kiss,2236
bright,color,2236
high,priest,2235
soft,smile,2234
new,dress,2233
low,moan,2231
whole,city,2231
right,man,2230
square,foot,2229
crazy,thing,2229
rare,occasion,2227
open,book,2227
good,manner,2226
new,order,2224
fair,amount,2223
little,eye,2222
good,arm,2222
obvious,reason,2222
great,danger,2221
first,round,2219
due,course,2219
swing,door,2218
same,year,2215
red,velvet,2213
new,voice,2213
short,period,2211
same,mistake,2210
stunned,silence,2208
little,choice,2208
more,food,2208
busy,day,2208
thick,wall,2207
small,animal,2206
strange,place,2206
small,crowd,2204
other,building,2203
solid,ground,2203
sweet,smell,2203
few,pace,2203
narrow,path,2201
pale,light,2201
booted,foot,2198
wealthy,man,2195
other,sound,2195
second,one,2195
normal,circumstance,2194
good,kid,2194
high,place,2193
red,flag,2191
own,work,2191
second,story,2190
old,couple,2188
lucky,man,2187
small,ship,2186
old,fool,2186
front,lawn,2185
long,knife,2182
white,cloud,2181
look,guy,2180
little,creature,2179
whole,idea,2179
bright,sunlight,2177
new,set,2177
same,side,2177
modern,day,2174
poor,child,2170
main,floor,2169
poor,kid,2168
sink,feeling,2168
wicked,smile,2168
friendly,smile,2167
soft,eye,2166
first,instinct,2165
married,couple,2165
local,police,2164
little,chance,2163
only,question,2163
worried,look,2160
strong,feeling,2158
new,member,2157
whip,cream,2157
hot,coffee,2156
dark,sky,2155
complete,stranger,2155
last,evening,2155
hundredth,time,2152
middle,name,2152
half,sister,2150
warm,glow,2149
bad,place,2149
several,occasion,2149
clear,water,2148
right,wing,2148
heavy,weight,2148
light,room,2147
sharp,look,2146
black,skirt,2145
awful,thing,2140
wicked,grin,2139
thin,smile,2139
certain,way,2138
serious,expression,2138
soft,hand,2137
first,wave,2137
old,world,2135
current,situation,2132
normal,people,2132
same,eye,2131
shy,smile,2131
brim,hat,2130
several,breath,2130
extra,time,2129
single,shot,2126
same,guy,2124
other,family,2124
old,car,2123
favorite,place,2121
good,behavior,2120
top,hat,2120
polished,floor,2120
black,box,2119
right,choice,2119
steep,slope,2118
good,book,2118
silky,hair,2118
new,kind,2117
late,hour,2116
rear,end,2115
slight,bit,2114
human,mind,2113
concrete,wall,2112
enough,force,2112
left,cheek,2112
big,sister,2111
full,breast,2110
own,need,2110
low,whistle,2109
new,development,2109
different,matter,2109
high,window,2106
beady,eye,2106
full,weight,2103
several,mile,2103
heavy,breathing,2103
blue,water,2102
different,man,2102
dangerous,man,2101
thin,layer,2099
long,sleeve,2099
federal,government,2099
late,twenty,2099
rear,view,2098
curious,look,2096
tiny,piece,2096
little,shit,2096
small,size,2095
next,level,2094
own,clothe,2094
french,fry,2093
countless,time,2093
many,mile,2093
good,heaven,2091
small,girl,2090
live,area,2090
other,mean,2088
half,breed,2088
present,day,2087
great,guy,2087
lovely,woman,2087
hot,tea,2086
damp,hair,2086
low,sound,2085
other,team,2083
top,speed,2081
dear,boy,2081
rich,people,2081
several,inch,2080
many,life,2080
great,interest,2079
tall,window,2078
right,person,2078
gentle,kiss,2077
good,impression,2077
other,vehicle,2077
overnight,bag,2076
first,ring,2075
