verb,object,count
activate,door,3
activate,sulfur,3
add,pound,22
add,weight,14
add,layer,14
add,fuel,11
add,inch,10
add,voice,9
add,interest,8
add,touch,8
add,tablespoon,8
add,dimension,8
add,glow,7
add,detail,6
add,foot,6
add,spice,6
add,dent,6
add,character,6
add,note,6
add,force,5
add,teaspoon,5
add,thing,4
add,flair,4
add,kind,4
add,flavor,4
add,edge,4
add,number,4
add,piece,4
add,signature,4
add,insult,4
add,ingredient,4
add,depth,4
add,thrill,4
add,strength,3
add,second,3
add,horror,3
add,tip,3
add,height,3
add,cushion,3
add,element,3
add,allure,3
add,hour,3
add,dozen,3
add,momentum,3
add,mark,3
add,isis,3
addle,brain,12
addle,wit,4
address,question,10
address,man,9
address,nation,7
address,child,6
address,crowd,5
address,woman,4
address,class,3
adjoin,bedroom,6
adjoin,mine,3
adjoin,ladyship,3
adjoin,prince,3
adjust,glass,17
adjust,tie,5
adjust,aim,5
adjust,seat,4
adjust,hat,4
adjust,cap,4
adjust,dial,4
adjust,belt,4
adjust,microphone,3
adjust,breast,3
administer,injection,6
administer,oath,4
administer,rite,3
admire,woman,5
admire,beauty,4
admire,rosette,3
admire,father,3
admire,wife,3
admire,sway,3
admit,light,20
admit,woman,6
admit,moonlight,5
admit,lot,3
adopt,child,22
adopt,expression,14
adopt,name,6
adopt,look,6
adopt,tone,6
adopt,policy,5
adopt,attitude,4
adopt,baby,4
adopt,method,4
adopt,measure,4
adopt,strategy,3
adopt,manner,3
adore,child,7
adore,mother,6
adore,son,3
adore,woman,3
adore,father,3
adorn,wall,173
adorn,face,22
adorn,neck,14
adorn,finger,12
adorn,table,10
adorn,window,10
adorn,head,10
adorn,room,9
adorn,ear,8
adorn,door,8
adorn,foot,8
adorn,floor,7
adorn,side,6
adorn,lip,6
adorn,wrist,6
adorn,hand,5
adorn,ceiling,4
adorn,hair,3
adorn,bed,3
adorn,corner,3
advance,step,6
advance,throttle,5
advance,cause,4
advertise,film,3
advertise,beer,3
advise,patient,3
advise,caution,3
advise,rest,3
advise,child,3
advise,captain,3
advocate,activity,11
advocate,system,3
affect,people,46
affect,life,33
affect,other,23
affect,mind,22
affect,judgment,19
affect,work,13
affect,way,12
affect,decision,11
affect,world,10
affect,body,10
affect,future,7
affect,mood,7
affect,child,7
affect,ability,6
affect,line,6
affect,memory,6
affect,vampire,5
affect,cell,5
affect,man,4
affect,policy,4
affect,vision,4
affect,hearing,4
affect,thing,4
affect,outcome,4
affect,level,4
affect,security,4
affect,human,4
affect,crew,3
affect,disdain,3
affect,function,3
affect,present,3
affect,pattern,3
affect,transfer,3
affect,culture,3
affirm,conviction,3
afford,view,70
afford,opportunity,11
afford,privacy,11
afford,luxury,10
afford,chance,10
afford,time,8
afford,cover,6
afford,protection,6
afford,kind,4
afford,mean,4
afford,cost,4
afford,compassion,4
afford,satisfaction,4
afford,basis,3
age,year,13
aggravate,injury,10
aggravate,child,3
aginst,rib,3
agree,synthetic,4
agree,aye,3
ai,matter,3
aim,gun,45
aim,weapon,32
aim,rifle,20
aim,camera,10
aim,pistol,10
aim,arrow,6
aim,bow,5
aim,way,4
aim,blow,4
aim,flashlight,3
alert,other,7
alert,agent,6
alert,man,6
alert,guard,5
alert,police,4
alert,enemy,3
alert,intruder,3
align,way,4
allay,worry,3
allow,disclaimer,48
allow,time,25
allow,access,20
allow,light,15
allow,thing,15
allow,pet,13
allow,argument,7
allow,room,7
allow,sunlight,5
allow,movement,5
allow,view,5
allow,visit,4
allow,child,4
allow,plenty,3
allow,glimpse,3
allow,testimony,3
alter,course,45
alter,fact,11
alter,situation,9
alter,perception,7
alter,whit,7
alter,thing,6
alter,case,6
alter,life,6
alter,feeling,4
alter,outcome,4
alter,shape,3
alter,appearance,3
alter,decision,3
alter,dna,3
alter,way,3
alter,destiny,3
amass,fortune,7
amass,spell,3
amend,wrong,3
amplify,voice,18
amplify,sound,6
amputate,leg,6
amputate,elbow,4
analyze,datum,11
analyze,sample,6
analyze,situation,6
analyze,content,3
anchor,hip,4
angle,head,17
animate,body,4
animate,face,4
annihilate,people,3
announce,arrival,271
announce,presence,34
announce,return,23
announce,approach,18
announce,engagement,15
announce,descent,12
announce,name,11
announce,entrance,9
announce,hour,9
announce,plan,8
announce,visitor,8
announce,call,8
announce,stop,8
announce,fact,7
announce,death,6
announce,message,5
announce,end,5
announce,break,4
announce,customer,4
announce,day,4
announce,officer,4
announce,time,4
announce,man,4
announce,start,4
announce,room,4
announce,attention,3
announce,arrest,3
announce,opening,3
announce,winner,3
announce,measure,3
annoy,hell,13
annul,marriage,4
answer,question,644
answer,phone,396
answer,door,371
answer,call,185
answer,knock,62
answer,bell,21
answer,ad,15
answer,ring,13
answer,description,13
answer,summon,13
answer,doorbell,12
answer,telephone,12
answer,prayer,12
answer,word,10
answer,hail,8
answer,line,6
answer,residence,5
answer,problem,4
answer,letter,4
answer,intercom,4
answer,captain,4
answer,cry,4
answer,service,3
answer,surprise,3
answer,fellow,3
answer,buzzer,3
anticipate,move,10
anticipate,order,4
anticipate,sphere,3
anticipate,arrival,3
appeal,conviction,3
appear,time,6
appear,thing,3
appear,circle,3
append,line,5
applaud,victory,4
applaud,work,3
applaud,verdict,3
apply,pressure,33
apply,brake,20
apply,makeup,10
apply,bandage,3
apply,power,3
apply,test,3
appoint,lawyer,8
appoint,slave,4
appoint,attorney,4
appoint,chief,4
appoint,guardian,4
appraise,face,3
appreciate,thing,11
appreciate,effort,10
appreciate,humor,6
appreciate,girl,5
appreciate,beauty,5
appreciate,woman,5
appreciate,man,5
appreciate,gesture,5
appreciate,music,4
appreciate,help,4
appreciate,talent,4
appreciate,way,4
appreciate,wife,3
appreciate,skill,3
appreciate,apology,3
appreciate,art,3
appreciate,scene,3
appreciate,tale,3
approach,table,219
approach,door,138
approach,house,49
approach,car,35
approach,bed,29
approach,gate,28
approach,desk,23
approach,man,21
approach,side,18
approach,counter,16
approach,group,14
approach,bar,13
approach,window,13
approach,room,12
approach,woman,12
approach,floor,11
approach,body,11
approach,bridge,9
approach,horizon,9
approach,station,9
approach,vehicle,9
approach,building,9
approach,midnight,8
approach,area,8
approach,coast,8
approach,ship,8
approach,stop,8
approach,entrance,7
approach,fence,7
approach,place,7
approach,cell,7
approach,bench,6
approach,speed,6
approach,people,6
approach,city,6
approach,shore,5
approach,booth,5
approach,planet,5
approach,podium,5
approach,truck,5
approach,certainty,5
approach,her,5
approach,fire,5
approach,island,5
approach,turn,4
approach,kitchen,4
approach,point,4
approach,warily,4
approach,corner,4
approach,degree,4
approach,unity,4
approach,boy,4
approach,female,4
approach,camp,4
approach,position,4
approach,platform,4
approach,chief,4
approach,stage,4
approach,spot,4
approach,office,4
approach,witness,4
approach,dog,3
approach,sun,3
approach,pod,3
approach,corridor,3
approach,disaster,3
approach,ear,3
approach,edge,3
approach,tub,3
approach,palace,3
approach,dock,3
approach,runway,3
approach,hour,3
approach,curve,3
approve,paper,11
approve,plan,7
approve,request,4
approve,loan,4
approve,marriage,4
arc,body,3
arch,eyebrow,75
arch,brow,54
arch,back,31
arch,neck,7
arch,fraction,3
argue,point,16
argue,case,8
argue,lot,3
arouse,suspicion,38
arouse,interest,12
arouse,curiosity,9
arouse,memory,7
arouse,jealousy,4
arouse,attention,4
arouse,enthusiasm,4
arouse,attendant,3
arouse,sens,3
arouse,feeling,3
arrange,marriage,43
arrange,match,13
arrange,meeting,11
arrange,thing,9
arrange,betrothal,8
arrange,paper,4
arrange,chair,3
arrange,business,3
array,square,3
arrest,man,24
arrest,people,9
arrest,attention,8
arrest,guy,6
arrest,person,6
arrest,woman,5
arrest,suspect,4
arrest,national,4
arrive,time,16
arrive,minute,6
ascend,stair,32
ascend,throne,12
ascend,step,9
ascend,staircase,7
ascend,spire,3
ascend,sky,3
ascend,middle,3
ask,question,1934
ask,woman,57
ask,man,56
ask,name,47
ask,thing,45
ask,opinion,39
ask,permission,35
ask,lot,33
ask,father,28
ask,mother,26
ask,eye,19
ask,people,18
ask,friend,17
ask,voice,16
ask,wife,13
ask,sort,13
ask,boy,12
ask,time,11
ask,class,10
ask,advice,9
ask,daughter,9
ask,lady,9
ask,direction,8
ask,one,8
ask,smile,8
ask,husband,8
ask,person,7
ask,girl,7
ask,kind,7
ask,student,7
ask,series,7
ask,hand,6
ask,child,6
ask,dad,6
ask,companion,6
ask,police,5
ask,boss,5
ask,word,5
ask,price,5
ask,business,5
ask,officer,5
ask,god,5
ask,day,4
ask,sheriff,4
ask,public,4
ask,forgiveness,4
ask,sister,4
ask,kid,4
ask,chaplain,4
ask,leader,4
ask,president,4
ask,warily,4
ask,driver,4
ask,nurse,4
ask,subject,4
ask,reporter,4
ask,view,4
ask,parent,4
ask,tone,3
ask,boon,3
ask,set,3
ask,reply,3
ask,counsel,3
ask,mom,3
ask,quarter,3
ask,bride,3
ask,vampire,3
ask,staff,3
ask,reason,3
ask,court,3
ask,fella,3
ask,detail,3
ask,foreman,3
ask,lawyer,3
assail,nostril,68
assail,sens,18
assail,nose,15
assail,ear,10
assail,mind,4
assail,eye,3
assault,sens,70
assault,nostril,69
assault,nose,66
assault,ear,59
assault,mind,12
assault,eye,12
assault,vision,7
assault,eardrum,6
assault,woman,4
assault,man,3
assault,lung,3
assemble,downriver,3
assert,right,60
assert,power,5
assess,situation,19
assess,damage,4
assess,face,4
assess,size,3
assess,body,3
assess,appearance,3
assign,value,6
assign,adjective,5
assign,case,4
assign,task,4
assign,paper,3
assign,meaning,3
assist,body,3
associate,name,5
associate,people,3
assort,vegetable,5
assuage,anger,3
assume,expression,98
assume,responsibility,60
assume,look,30
assume,position,28
assume,tone,20
assume,role,12
assume,shape,8
assume,air,8
assume,appearance,7
assume,mask,6
assume,command,6
assume,formation,6
assume,duty,6
assume,shade,6
assume,control,6
assume,posture,5
assume,pattern,5
assume,smile,5
assume,aspect,5
assume,thing,5
assume,form,5
assume,timbre,4
assume,note,4
assume,identity,4
assume,hue,4
assume,throne,4
assume,fact,4
assume,quality,4
assume,stance,4
assume,color,3
assume,line,3
assume,whine,3
assume,glow,3
assure,matter,3
attach,importance,14
attach,chain,6
attach,house,4
attack,people,19
attack,ship,16
attack,city,11
attack,woman,9
attack,man,8
attack,village,8
attack,target,6
attack,family,6
attack,house,6
attack,town,6
attack,nose,6
attack,fleet,5
attack,mind,4
attack,castle,4
attack,capital,4
attack,force,4
attack,system,4
attack,camp,4
attack,sentry,4
attack,stomach,4
attack,side,4
attack,kidney,4
attack,child,4
attack,deer,3
attack,human,3
attack,body,3
attack,train,3
attack,boat,3
attack,breast,3
attack,animal,3
attack,lion,3
attack,girl,3
attack,baggage,3
attack,mouth,3
attain,speed,6
attain,invisibility,4
attain,level,4
attain,proportion,3
attain,velocity,3
attain,notoriety,3
attempt,suicide,7
attempt,rescue,5
attempt,escape,5
attempt,smile,4
attend,school,89
attend,funeral,49
attend,church,30
attend,service,25
attend,meeting,22
attend,party,15
attend,wedding,13
attend,class,11
attend,university,9
attend,event,8
attend,ceremony,7
attend,game,6
attend,college,6
attend,gathering,4
attend,performance,3
attest,wife,3
attract,attention,550
attract,notice,17
attract,crowd,14
attract,lot,11
attract,man,10
attract,eye,7
attract,interest,6
attract,kind,5
attract,people,4
attract,thing,4
attract,filing,4
attract,fan,4
attract,woman,4
attract,sort,4
attract,gaze,4
attract,bee,4
attract,other,3
attract,mate,3
attract,spirit,3
attract,moth,3
authorize,edition,200
authorize,expedition,5
autour,fil,28
avenge,death,5
avenge,wrong,3
average,percent,4
average,year,3
average,viewer,3
average,mile,3
avert,eye,72
avert,gaze,18
avert,face,7
avoid,eye,25
avoid,her,20
avoid,gaze,20
avoid,contact,18
avoid,mine,15
avoid,area,11
avoid,place,5
avoid,detection,4
avoid,infringement,3
avoid,waterfall,3
avoid,mirror,3
avoid,firestorm,3
await,arrival,23
await,order,12
await,return,9
await,pleasure,6
await,trial,4
await,reader,4
await,man,4
await,command,4
await,attention,4
await,day,4
await,response,4
await,sinner,3
await,word,3
await,ingredient,3
awake,hunger,3
awaken,memory,13
awaken,nerve,4
awaken,dragon,4
awaken,recollection,4
awaken,instinct,4
award,custody,17
award,place,4
award,child,3
award,prize,3
babble,news,3
back,step,35
back,pace,12
back,truck,10
back,story,6
back,car,4
back,wheelchair,3
back,vehicle,3
backfire,time,4
backtrail,scent,3
badger,witness,4
bag,body,3
bait,trap,5
bake,cake,25
bake,pie,14
bake,cooky,13
bake,skin,6
bake,bread,6
bake,earth,6
bake,land,4
bake,loaf,4
bake,wall,3
bake,brain,3
bake,side,3
bake,face,3
bake,top,3
balance,one,4
balance,death,3
balance,cent,3
balance,probability,3
ball,fist,4
ball,hand,4
ban,abortion,3
band,cap,4
band,waist,3
band,chest,3
bang,gavel,48
bang,shut,40
bang,fist,11
bang,door,6
bang,sword,5
bang,head,4
bang,leg,4
banish,darkness,5
banish,thought,3
bank,helicopter,4
bank,plane,3
bank,aircraft,3
bar,tooth,175
bar,way,78
bar,fang,26
bar,path,8
bar,window,6
bar,door,6
bar,entrance,5
bar,passage,4
bar,head,3
bark,order,127
bark,laugh,46
bark,command,23
bark,word,6
bark,time,6
bark,question,6
bark,voice,4
bark,warning,4
bark,greeting,3
bark,house,3
bark,head,3
bark,storm,3
bark,goodbye,3
barrel,track,7
base,decision,6
base,case,3
bat,eye,72
bat,eyelash,27
bat,eyelid,21
bath,face,64
bath,room,42
bath,skin,20
bath,body,20
bath,area,8
bath,stone,4
bath,cheek,4
bath,ear,4
bath,street,3
bath,neck,3
bath,sand,3
bath,ground,3
bathe,face,4
batter,window,9
batter,wall,8
batter,face,6
batter,chest,5
batter,roof,4
batter,door,4
batter,rib,4
batter,cage,3
batter,hull,3
batter,house,3
batter,ship,3
battle,cancer,10
battle,empire,9
battle,way,7
battle,heart,4
battle,mine,3
be,school,3
beach,boat,4
bead,forehead,86
bead,brow,56
bead,face,29
bead,skin,20
bead,lip,15
bead,temple,5
bead,back,4
bead,hairline,3
bead,lash,3
bead,chest,3
bead,body,3
beam,smile,12
bear,resemblance,277
bear,name,135
bear,fruit,133
bear,mark,106
bear,child,106
bear,expression,98
bear,weight,74
bear,witness,73
bear,look,56
bear,scar,51
bear,sign,46
bear,trace,36
bear,brunt,25
bear,burden,23
bear,hole,22
bear,smile,22
bear,hint,20
bear,word,19
bear,wound,17
bear,son,17
bear,bruise,15
bear,signature,13
bear,line,13
bear,responsibility,12
bear,address,12
bear,stamp,11
bear,logo,11
bear,arm,11
bear,inscription,11
bear,image,11
bear,marking,10
bear,evidence,9
bear,grudge,9
bear,will,9
bear,sword,8
bear,representation,8
bear,daughter,8
bear,feature,7
bear,ring,7
bear,number,7
bear,relation,7
bear,plaque,6
bear,theory,6
bear,phoenix,6
bear,statement,6
bear,similarity,6
bear,date,6
bear,headline,6
bear,device,6
bear,thing,6
bear,insignia,6
bear,likeness,6
bear,cut,5
bear,symbol,5
bear,title,5
bear,scratch,5
bear,kind,5
bear,imprint,5
bear,label,5
bear,token,5
bear,plume,5
bear,accent,5
bear,streak,4
bear,character,4
bear,expense,4
bear,blame,4
bear,indentation,4
bear,sigil,4
bear,blood,4
bear,mural,4
bear,sticker,4
bear,observation,4
bear,tinge,4
bear,thought,4
bear,pattern,4
bear,message,4
bear,leaf,4
bear,stain,4
bear,reality,4
bear,flower,4
bear,remnant,4
bear,cost,4
bear,meaning,4
bear,love,4
bear,loss,4
bear,crown,3
bear,plague,3
bear,bow,3
bear,saddle,3
bear,bastard,3
bear,coat,3
bear,banner,3
bear,trout,3
bear,light,3
bear,painting,3
bear,brand,3
bear,rite,3
bear,mixture,3
bear,mask,3
bear,appearance,3
bear,patch,3
bear,pain,3
bear,grin,3
beat,rhythm,136
beat,mile,86
beat,air,75
beat,time,55
beat,wife,33
beat,wing,31
beat,path,26
beat,retreat,24
beat,shit,22
beat,mother,21
beat,hell,18
beat,drum,17
beat,staccato,16
beat,door,16
beat,crap,15
beat,man,15
beat,way,14
beat,cadence,14
beat,chest,11
beat,woman,11
beat,guy,11
beat,boy,9
beat,beat,9
beat,speed,7
beat,tempo,7
beat,people,6
beat,wild,6
beat,cop,5
beat,horse,5
beat,blood,5
beat,heart,5
beat,girl,4
beat,fist,4
beat,race,4
beat,face,4
beat,tune,4
beat,son,4
beat,dog,4
beat,maid,4
beat,brother,4
beat,ass,4
beat,team,4
beat,water,4
beat,pace,4
beat,bush,4
beat,cudgel,3
beat,window,3
beat,tent,3
beat,eater,3
beat,her,3
beat,shield,3
beat,half,3
beat,child,3
beat,rock,3
beat,straight,3
beat,rain,3
beat,track,3
beat,message,3
beat,eye,3
beat,shore,3
beat,second,3
beat,heat,3
beat,dad,3
beat,alternative,3
bed,wife,4
beep,horn,15
beep,message,4
beep,time,3
befall,galaxy,9
befall,man,7
befall,child,5
befall,people,4
befall,mother,4
befell,room,3
befit,name,3
beg,forgiveness,11
beg,question,6
beg,pardon,6
beg,father,5
beg,gasoline,3
beg,hospitality,3
beg,husband,3
beg,dance,3
beg,mercy,3
beget,violence,7
beget,child,6
beget,money,4
beget,lie,4
beget,sympathy,3
begin,descent,198
begin,journey,57
begin,ascent,56
begin,work,53
begin,process,35
begin,chant,22
begin,search,21
begin,beat,20
begin,song,17
begin,exploration,15
begin,climb,15
begin,dance,15
begin,turn,14
begin,slide,14
begin,roll,13
begin,rhythm,12
begin,maneuver,11
begin,conversation,10
begin,life,10
begin,withdrawal,9
begin,decline,9
begin,assault,9
begin,campaign,9
begin,trek,9
begin,preparation,8
begin,rise,8
begin,series,8
begin,ceremony,8
begin,deliberation,8
begin,massage,8
begin,attack,8
begin,countdown,7
begin,movement,7
begin,negotiation,7
begin,move,6
begin,discussion,6
begin,task,6
begin,career,6
begin,tune,6
begin,drop,5
begin,march,5
begin,thousand,5
begin,walk,5
begin,leg,5
begin,fall,5
begin,taxi,5
begin,word,5
begin,examination,5
begin,speech,5
begin,arc,5
begin,investigation,5
begin,practice,5
begin,program,5
begin,stroke,4
begin,home,4
begin,melody,4
begin,boil,4
begin,parade,4
begin,pace,4
begin,rocking,4
begin,hunt,4
begin,service,4
begin,approach,4
begin,sermon,4
begin,spiel,4
begin,meeting,4
begin,boarding,4
begin,training,4
begin,barking,3
begin,mile,3
begin,end,3
begin,run,3
begin,sweep,3
begin,fade,3
begin,tale,3
begin,conquest,3
begin,case,3
begin,decent,3
begin,whistle,3
begin,gesture,3
begin,introduction,3
begin,waltz,3
begin,pounding,3
begin,ballad,3
begin,advance,3
begin,hearing,3
begin,job,3
begin,number,3
begin,retreat,3
begin,pound,3
begin,trot,3
begin,hammering,3
begin,patrol,3
begin,instruction,3
begin,chain,3
begin,spin,3
begin,school,3
begin,farmer,3
behave,way,11
behave,yourself,5
beheld,sight,3
behold,sun,4
belch,smoke,23
belch,fire,13
belch,cloud,5
belie,word,76
belie,tone,16
belie,fact,9
belie,year,6
belie,strength,5
belie,smile,5
belie,heritage,3
believe,story,78
believe,word,51
believe,thing,48
believe,lie,39
believe,eye,16
believe,ear,11
believe,truth,8
believe,claim,7
believe,nonsense,6
believe,luck,6
believe,tale,6
believe,version,5
believe,crap,5
believe,kind,4
believe,sort,3
believe,report,3
believe,girl,3
believe,shit,3
bellow,order,6
bellow,name,4
belt,song,5
bend,head,74
bend,knee,30
bend,way,14
bend,neck,11
bend,tree,6
bend,lip,5
bend,top,4
bend,back,4
bend,rule,4
bend,mask,3
bend,bow,3
bent,head,17
bent,lip,8
bent,back,5
bent,bow,4
bent,mouth,3
beseech,her,3
besiege,city,8
besmirch,sky,4
besmirch,marble,3
bespoke,study,3
bestow,title,8
bestow,blessing,4
bestrode,gap,3
bet,dollar,3
betray,emotion,127
betray,hint,60
betray,fear,55
betray,thought,41
betray,feeling,31
betray,concern,28
betray,surprise,28
betray,none,26
betray,shock,24
betray,presence,23
betray,fact,22
betray,sign,22
betray,excitement,21
betray,anxiety,21
betray,pain,20
betray,anger,19
betray,confusion,17
betray,worry,16
betray,flicker,15
betray,disappointment,15
betray,doubt,14
betray,word,14
betray,frustration,13
betray,disbelief,12
betray,lack,12
betray,panic,11
betray,annoyance,11
betray,confidence,11
betray,interest,11
betray,nervousness,11
betray,mind,11
betray,amusement,10
betray,sense,10
betray,terror,9
betray,curiosity,9
betray,reaction,8
betray,expression,8
betray,relief,8
betray,turmoil,8
betray,trace,7
betray,secret,7
betray,tension,6
betray,father,6
betray,fatigue,6
betray,intention,6
betray,age,6
betray,uncertainty,6
betray,root,5
betray,opinion,5
betray,suspicion,5
betray,location,5
betray,country,5
betray,irritation,5
betray,mixture,5
betray,apprehension,5
betray,loss,5
betray,alarm,5
betray,distaste,5
betray,arousal,5
betray,embarrassment,5
betray,trust,5
betray,agitation,4
betray,look,4
betray,year,4
betray,bitterness,4
betray,astonishment,4
betray,woman,4
betray,guilt,4
betray,tremble,4
betray,mood,4
betray,depth,4
betray,horror,4
betray,existence,4
betray,smile,4
betray,fury,4
betray,husband,4
betray,heritage,4
betray,belief,4
betray,blood,4
betray,rage,4
betray,origin,4
betray,love,4
betray,strain,3
betray,glint,3
betray,need,3
betray,puzzlement,3
betray,dismay,3
betray,note,3
betray,intelligence,3
betray,flash,3
betray,edge,3
betray,desperation,3
betray,king,3
betray,suffering,3
betray,haze,3
betray,lust,3
betray,reluctance,3
betray,welcome,3
betwixt,tribe,4
betwixt,tooth,3
bevel,bottom,3
bid,farewell,9
bid,time,9
bid,goodbye,3
billow,curtain,11
billow,cloak,4
billow,window,3
billow,jungle,3
bind,wrist,67
bind,hand,38
bind,ankle,17
bind,arm,12
bind,foot,5
bind,wave,4
bind,family,4
bind,circle,4
bind,spirit,4
bind,wound,4
bind,defendant,3
bind,gunslinger,3
bind,man,3
bind,holster,3
birth,child,5
birth,baby,3
bisect,cheek,5
bisect,eyebrow,4
bisect,corner,3
bisect,face,3
bite,lip,222
bite,dust,22
bite,tongue,11
bite,skin,9
bite,tail,7
bite,face,6
bite,cheek,5
bite,nail,4
bite,people,4
bite,eye,4
bite,curse,4
bite,neck,4
bite,head,4
bite,flesh,4
bite,word,4
bite,palm,3
bite,water,3
bite,edge,3
blacken,sky,5
blacken,snow,3
blame,tool,7
blame,woman,6
blame,husband,5
blame,mother,4
blame,other,4
blame,father,4
blame,parent,3
blank,thing,3
blank,face,3
blanket,sky,21
blanket,ground,20
blanket,room,12
blanket,her,12
blanket,area,8
blanket,land,5
blanket,city,4
blanket,body,4
blanket,face,4
blanket,sun,3
blanket,hill,3
blanket,floor,3
blare,horn,22
blare,news,13
blare,music,10
blare,song,10
blare,show,6
blare,warning,5
blare,commercial,5
blare,engine,3
blare,chord,3
blast,horn,26
blast,face,24
blast,hole,10
blast,power,8
blast,ear,6
blast,hair,5
blast,asteroid,3
blast,lock,3
blast,body,3
blaze,trail,35
blaze,fire,32
blaze,red,24
blaze,path,13
blaze,blue,10
blaze,anger,7
blaze,gold,7
blaze,defiance,6
blaze,hatred,6
blaze,crimson,5
blaze,white,4
blaze,message,4
blaze,scarlet,3
blaze,fury,3
blaze,arm,3
blaze,green,3
blaze,orange,3
blaze,hate,3
bleach,hair,9
bleach,gold,5
bleach,skin,4
bleat,skitter,3
bleed,lot,16
bleed,tear,7
bless,soul,21
bless,heart,20
bless,child,9
bless,mankind,3
bless,path,3
bless,union,3
blind,eye,33
blind,vision,17
blind,sight,3
blink,eye,80
blink,tear,20
blink,red,10
blink,number,4
blink,light,4
blink,warning,4
blink,sweat,4
blink,surprise,4
blister,skin,11
blister,foot,4
block,view,391
block,way,298
block,path,175
block,light,118
block,sun,85
block,road,81
block,entrance,69
block,door,52
block,exit,32
block,street,27
block,doorway,22
block,sunlight,20
block,vision,17
block,driveway,17
block,sound,16
block,end,14
block,passage,14
block,throat,13
block,sky,12
block,moon,12
block,access,12
block,star,11
block,moonlight,10
block,face,9
block,blow,9
block,signal,8
block,traffic,8
block,escape,7
block,drive,7
block,mine,7
block,attack,7
block,noise,6
block,pavement,5
block,window,4
block,progress,4
block,wind,4
block,field,4
block,area,4
block,portion,4
block,lane,4
block,flow,4
block,thought,4
block,ray,4
block,sight,3
block,stair,3
block,channel,3
block,tower,3
blockade,port,3
bloom,hair,4
bloom,red,4
bloom,day,3
blot,sun,40
blot,star,25
blot,light,17
blot,sky,8
blot,moon,7
blot,darkness,4
