subject,verb,object,count
anger,reach,point,11
anger,twist,face,11
anger,fill,voice,11
anger,cross,face,11
anger,flush,face,10
anger,contort,face,10
anger,darken,face,10
animal,have,sense,16
animal,make,noise,15
animal,make,sound,15
animal,raise,head,13
animal,have,soul,13
animal,kill,animal,11
animal,find,way,10
ankle,give,way,19
announcement,have,effect,11
annoyance,give,way,11
answer,make,sense,62
anxiety,give,way,12
apartment,have,bedroom,14
apartment,have,room,13
apartment,have,balcony,11
appeal,have,effect,10
appearance,have,effect,19
applause,fill,room,18
archer,take,position,13
archer,nock,arrow,12
archer,loose,arrow,11
archer,take,aim,10
argument,make,sense,41
argument,take,place,27
argument,hold,water,16
argument,have,merit,11
argument,carry,weight,10
arm,circle,waist,137
arm,encircle,waist,124
arm,round,shoulder,65
arm,round,neck,64
arm,round,waist,55
arm,circle,neck,52
arm,encircle,neck,46
arm,give,way,36
arm,circle,shoulder,31
arm,brush,her,23
arm,find,way,22
arm,encircle,shoulder,21
arm,hug,knee,17
arm,brush,shoulder,16
arm,cross,chest,16
arm,cover,face,15
arm,hang,limp,15
arm,brush,mine,14
arm,cradle,head,13
arm,circle,body,13
arm,cover,head,13
arm,have,strength,13
arm,take,weight,12
arm,wrap,waist,11
arm,hug,chest,11
arm,lose,strength,11
arm,round,knee,10
arm,hold,close,10
arm,encircle,body,10
army,make,way,15
army,make,camp,12
army,take,city,10
aroma,fill,air,85
aroma,fill,room,41
aroma,make,water,31
aroma,fill,nostril,30
aroma,fill,kitchen,21
aroma,make,growl,15
aroma,permeate,air,12
aroma,fill,sens,12
aroma,fill,nose,10
arrest,take,place,17
arrival,cause,stir,14
arrival,put,end,14
arrogance,take,breath,12
arrogance,know,bound,11
arrow,find,mark,18
arrow,hit,mark,15
arrow,find,target,14
arrow,pierce,heart,13
arrow,point,way,12
arrow,miss,mark,11
arrow,hit,target,11
article,catch,eye,19
artillery,open,fire,11
ass,hit,seat,11
assassin,shake,head,16
assassination,take,place,17
assault,take,place,25
assistant,take,care,11
astonishment,give,way,12
attack,take,place,183
attack,make,sense,25
attack,have,effect,24
attempt,take,place,22
attempt,have,effect,20
attendant,open,door,24
attendant,close,door,11
attendant,shake,head,10
attendant,bring,drink,10
attendant,give,look,10
attention,reach,middle,10
attitude,make,sense,14
attitude,have,effect,11
attorney,shake,head,12
auction,take,place,22
audience,hold,breath,17
audience,give,ovation,12
aunt,shake,head,32
aunt,take,care,13
author,acknowledge,status,145
author,receive,payment,114
author,provide,book,56
author,assert,right,49
author,own,copyright,39
author,make,effort,35
author,write,book,24
author,advocate,activity,11
authority,find,body,11
avon,une,amie,28
ayla,shake,head,10
baby,have,hair,21
baby,have,chance,21
baby,have,father,20
baby,open,eye,18
baby,have,eye,17
baby,have,name,17
baby,have,heartbeat,16
baby,make,sound,15
baby,open,mouth,15
baby,shake,head,14
baby,let,wail,12
baby,turn,head,11
baby,have,life,10
baby,make,noise,10
back,hit,wall,114
back,hit,bed,34
back,hit,door,27
back,hit,mattress,23
back,hit,edge,22
back,hit,floor,19
back,make,contact,18
back,hit,ground,16
back,touch,wall,15
back,block,view,12
back,meet,wall,10
back,strike,wall,10
back,face,door,10
bag,hit,floor,19
bag,hit,ground,11
baise,pose,elle,28
ball,slap,ass,17
ball,take,place,16
ball,leave,hand,12
ball,make,contact,11
ball,hit,ground,10
band,take,break,44
band,play,song,38
band,play,music,37
band,play,tune,32
band,take,stage,27
band,strike,tune,16
band,play,march,14
band,finish,song,12
band,play,version,11
band,play,waltz,11
band,play,number,10
bank,shake,head,30
bank,give,way,19
bank,give,loan,15
bank,light,cigarette,11
bank,hold,mortgage,10
bank,lend,money,10
bar,run,length,17
bar,line,wall,10
barber,cut,hair,13
barman,shake,head,16
bartender,set,drink,23
bartender,shake,head,23
bartender,bring,drink,22
bartender,set,glass,20
bartender,give,look,15
bartender,hand,drink,13
bartender,deliver,drink,13
bartender,take,order,13
bartender,place,drink,11
bartender,pour,shot,10
bartender,fill,glass,10
bartender,set,beer,10
bastard,have,nerve,17
bastard,get,hand,12
bastard,take,advantage,12
bastard,lay,hand,11
bastard,tell,truth,11
bat,flap,wing,10
bathroom,have,tub,16
bathroom,have,shower,11
bathroom,have,window,10
battery,open,fire,13
battle,take,place,198
battle,take,toll,13
bay,leave,onion,12
beach,give,way,15
bead,dot,forehead,34
bead,trickle,forehead,19
bead,roll,forehead,18
bead,trickle,side,15
bead,trickle,face,12
bead,dot,brow,11
beam,pierce,darkness,15
beam,cut,swath,13
beam,support,ceiling,10
beard,cover,face,28
beard,cover,half,11
beard,cover,chin,10
beast,open,mouth,17
beast,shake,head,16
beast,raise,head,15
beast,lift,head,13
beast,lower,head,13
beast,take,step,12
beast,make,sound,10
beast,let,roar,10
beast,throw,head,10
beat,fill,air,11
beauty,take,breath,48
beauty,steal,breath,11
bed,dominate,room,31
bed,have,sheet,26
bed,line,wall,20
bed,have,headboard,14
bed,dominate,space,12
bed,call,name,10
bedroom,have,bed,35
bedroom,have,bathroom,15
bedroom,have,door,15
bedroom,have,window,15
bedroom,contain,bed,12
bedroom,hold,bed,11
bee,make,honey,11
behavior,make,sense,32
being,have,right,19
being,have,power,11
bell,toll,hour,31
bell,announce,arrival,25
bell,chime,hour,17
bell,strike,hour,15
bell,make,sound,13
bell,have,rung,11
bell,ring,hour,11
bell,signal,end,11
belt,round,waist,13
belt,circle,waist,12
bench,line,wall,21
benefit,outweigh,risk,28
bile,burn,back,18
bile,rise,throat,17
bile,burn,throat,13
bile,creep,throat,13
bile,fill,throat,12
bile,rush,throat,10
bird,take,flight,79
bird,take,wing,31
bird,flap,wing,29
bird,build,nest,28
bird,sing,song,23
bird,cock,head,22
bird,get,worm,22
bird,spread,wing,18
bird,catch,worm,18
bird,make,sound,15
bird,make,noise,15
bird,make,nest,14
bird,tilt,head,14
birth,take,place,23
bit,make,difference,15
bit,make,sense,11
bit,find,way,10
bitch,have,nerve,14
blackness,give,way,11
blade,make,contact,32
blade,catch,light,28
blade,find,mark,21
blade,make,sound,17
blade,touch,skin,15
blade,pierce,heart,14
blade,pierce,skin,14
blade,strike,home,13
blade,cut,air,12
blade,slice,air,12
blade,have,edge,11
blade,break,skin,11
blanket,cover,body,17
blanket,cover,leg,11
blanket,cover,ground,10
blast,hit,face,13
blind,cover,window,12
blonde,have,fun,15
blood,fill,mouth,114
blood,leave,face,79
blood,stream,face,70
blood,pour,face,50
blood,trickle,face,48
blood,trickle,side,45
blood,cover,face,40
blood,stain,hand,40
blood,cover,hand,40
blood,trickle,arm,36
blood,stain,floor,31
blood,mat,hair,31
blood,run,chin,31
blood,trickle,neck,30
blood,run,arm,30
blood,soak,shirt,30
blood,leave,head,27
blood,trickle,cheek,27
blood,stain,shirt,26
blood,spatter,wall,25
blood,trickle,chin,24
blood,dribble,chin,24
blood,drip,face,22
blood,have,effect,22
blood,run,face,21
blood,spatter,face,20
blood,stain,ground,20
blood,stain,lip,19
blood,drip,chin,18
blood,trickle,leg,18
blood,stain,front,18
blood,streak,face,18
blood,pour,side,17
blood,drip,arm,17
blood,trickle,back,16
blood,leave,body,15
blood,splatter,face,15
blood,splatter,wall,15
blood,spray,face,15
blood,flood,mouth,15
blood,have,power,14
blood,catch,fire,14
blood,cover,side,14
blood,trickle,finger,14
blood,trickle,forehead,14
blood,hit,wall,13
blood,fill,throat,13
blood,stain,blade,13
blood,stain,finger,13
blood,run,neck,13
blood,coat,finger,13
blood,run,cheek,13
blood,stream,arm,13
blood,cover,shirt,13
blood,pour,arm,13
blood,leave,cheek,13
blood,spill,blood,12
blood,fill,eye,12
blood,smear,face,12
blood,cover,body,12
blood,stain,skin,11
blood,stain,water,11
blood,gush,face,11
blood,stain,snow,11
blood,cover,floor,11
blood,give,strength,10
blood,fill,air,10
blood,stain,face,10
blood,stream,cheek,10
blood,find,way,10
blood,have,time,10
blood,smear,cheek,10
blood,cover,arm,10
blow,have,effect,23
blow,knock,wind,15
blow,crush,skull,12
blow,knock,breath,12
blow,strike,home,11
blow,knock,head,10
blow,snap,head,10
blur,catch,eye,14
blur,catch,attention,12
blush,stain,cheek,69
blush,creep,cheek,42
blush,color,cheek,38
blush,heat,cheek,34
blush,creep,neck,29
blush,warm,cheek,24
blush,cover,cheek,24
blush,fill,cheek,20
blush,ting,cheek,19
blush,suffuse,cheek,17
blush,creep,face,16
blush,tint,cheek,14
blush,heat,face,12
blush,touch,cheek,12
blush,burn,cheek,11
blush,spread,neck,10
blush,work,way,10
board,give,way,10
boat,make,way,26
boat,pick,speed,21
boat,make,turn,14
boat,hit,water,11
body,hit,ground,124
body,hit,floor,103
body,cover,her,76
body,have,idea,62
body,block,view,46
body,litter,ground,46
body,show,sign,42
body,have,mind,42
body,need,rest,37
body,give,way,35
body,catch,fire,35
body,cover,mine,35
body,litter,floor,32
body,make,contact,31
body,have,time,29
body,lie,motionless,28
body,radiate,heat,28
body,take,control,27
body,touch,her,26
body,need,time,26
body,lie,face,25
body,hit,water,23
body,crave,touch,23
body,fill,doorway,23
body,tell,story,22
body,have,way,22
body,take,step,20
body,obey,command,20
body,have,strength,19
body,block,light,19
body,hit,wall,18
body,follow,suit,17
body,give,shudder,17
body,show,evidence,17
body,have,plan,17
body,lose,control,16
body,give,shiver,16
body,give,jerk,16
body,make,sound,16
body,press,her,15
body,take,care,15
body,brush,her,14
body,have,reaction,14
body,take,shape,14
body,have,limit,14
body,cast,shadow,14
body,burn,calorie,14
body,bear,mark,14
body,crave,release,14
body,touch,mine,13
body,make,noise,13
body,hit,deck,12
body,get,message,12
body,blanket,her,12
body,have,chance,12
body,fill,space,12
body,pin,her,12
body,strike,ground,11
body,get,memo,11
body,radiate,tension,11
body,betray,mind,11
body,make,decision,11
body,turn,traitor,11
body,give,heat,11
body,demand,rest,10
body,block,way,10
body,need,sleep,10
body,find,release,10
body,send,message,10
body,want,thing,10
body,take,breath,10
body,litter,street,10
body,take,space,10
body,block,door,10
bodyguard,open,door,12
bodyguard,take,position,10
bolt,light,sky,24
bolt,split,sky,20
bolt,give,way,14
bolt,hit,tree,10
bolt,strike,ground,10
bomb,hit,target,10
bombing,take,place,17
bone,give,way,19
book,contain,content,54
book,contain,material,44
book,sell,copy,40
book,tell,story,34
book,line,wall,34
book,contain,excerpt,30
book,line,shelf,23
book,take,place,20
book,include,novel,17
book,fill,shelf,16
book,change,life,15
book,catch,eye,15
book,find,way,15
book,contain,scene,13
book,have,answer,12
book,win,award,12
book,visit,page,11
book,see,light,11
book,receive,review,10
book,have,name,10
book,have,page,10
book,hit,shelf,10
book,have,ending,10
book,contain,detail,10
bookcase,line,wall,31
bookshelf,line,wall,65
boom,shake,ground,14
boom,fill,air,11
boot,make,sound,65
boot,hit,floor,44
boot,hit,ground,39
boot,make,noise,16
boot,make,contact,15
boot,cover,foot,14
boot,have,heel,14
boot,touch,ground,14
boot,leave,footprint,14
boot,leave,print,14
boot,hit,dirt,10
boot,have,sol,10
boot,complete,outfit,10
booth,line,wall,21
boss,give,time,14
boss,shake,head,14
bottle,litter,floor,12
bottle,litter,table,10
box,line,wall,17
box,have,magic,10
box,catch,eye,10
boy,shake,head,289
boy,have,idea,58
boy,take,care,54
boy,make,way,54
boy,take,step,54
boy,hold,hand,53
boy,have,time,51
boy,have,hair,47
boy,have,chance,47
boy,open,door,45
boy,roll,eye,39
boy,raise,hand,39
boy,have,sense,34
boy,open,eye,32
boy,spend,time,31
boy,play,game,31
boy,put,hand,31
boy,give,look,31
boy,take,turn,30
boy,close,eye,29
boy,tell,truth,29
boy,have,eye,28
boy,find,way,28
boy,turn,head,28
boy,nod,head,27
boy,pay,attention,26
boy,exchange,glance,26
boy,make,sound,25
boy,have,way,25
boy,have,fun,25
boy,have,trouble,24
boy,say,word,23
boy,keep,eye,23
boy,have,look,22
boy,take,look,22
boy,take,breath,22
boy,throw,stone,21
boy,take,hand,21
boy,play,football,21
boy,open,mouth,21
boy,make,mistake,21
boy,make,fun,21
boy,have,problem,20
boy,ask,question,20
boy,meet,girl,19
boy,have,lot,19
boy,have,talent,19
boy,lift,head,19
boy,make,effort,19
boy,need,father,19
boy,wear,shirt,18
boy,have,day,18
boy,wrap,arm,18
boy,clear,throat,18
boy,make,noise,17
boy,shake,hand,17
boy,have,name,17
boy,take,notice,16
boy,show,sign,16
boy,have,room,16
boy,have,arm,16
boy,take,advantage,16
boy,need,help,16
boy,cock,head,15
boy,leave,room,15
boy,hang,head,15
boy,have,crush,15
boy,have,father,15
boy,make,move,14
boy,exchange,look,14
boy,save,life,14
boy,have,hand,14
boy,know,name,14
boy,lick,lip,14
boy,lose,mind,14
boy,break,heart,14
boy,give,nod,14
boy,have,courage,14
boy,cross,arm,14
boy,lead,way,13
boy,have,thing,13
boy,catch,eye,13
boy,tell,story,13
boy,throw,arm,13
boy,raise,head,13
boy,tilt,head,13
boy,need,rest,13
boy,get,idea,13
boy,have,back,13
boy,have,kind,13
boy,take,place,13
boy,take,time,13
boy,have,taste,13
boy,learn,lesson,13
boy,have,money,12
boy,have,mind,12
boy,have,life,12
boy,have,leg,12
boy,need,mother,12
boy,bite,lip,12
boy,enter,room,12
boy,give,smile,12
boy,raise,eye,12
boy,spend,hour,12
boy,stand,chance,12
boy,have,mother,12
boy,have,night,12
boy,have,right,12
boy,catch,sight,11
boy,give,glance,11
boy,get,look,11
boy,stand,ground,11
boy,have,skill,11
boy,make,face,11
boy,say,thing,11
boy,put,arm,11
boy,have,dog,11
boy,lose,mother,11
boy,get,hold,11
boy,have,spirit,10
boy,need,attention,10
boy,drop,head,10
boy,have,gift,10
boy,want,thing,10
boy,get,feeling,10
boy,answer,question,10
boy,hold,breath,10
boy,hold,arm,10
boy,grab,arm,10
boy,speak,word,10
bracelet,encircle,wrist,12
brain,have,time,39
brain,make,connection,34
brain,make,sense,28
brain,have,chance,22
brain,send,signal,20
brain,play,trick,19
brain,work,overtime,14
brain,process,information,14
brain,have,capacity,13
brain,send,message,13
brain,process,word,12
brain,have,trouble,12
brain,register,fact,11
brain,need,time,11
brain,take,moment,10
branch,whip,face,14
branch,give,way,12
branch,slap,face,11
branch,form,canopy,10
branch,scrap,side,10
breast,brush,chest,43
breast,fill,hand,28
breast,touch,chest,21
breast,brush,arm,15
breast,fill,palm,10
breath,tickle,ear,179
breath,leave,body,145
breath,leave,lung,108
breath,stir,hair,94
breath,tickle,skin,84
breath,tickle,neck,82
breath,send,shiver,53
breath,fill,lung,50
breath,escape,lip,43
breath,fan,face,38
breath,brush,cheek,33
breath,caress,skin,32
breath,warm,skin,32
breath,escape,lung,31
breath,ruffle,hair,31
breath,make,cloud,30
breath,caress,neck,29
breath,caress,ear,29
breath,tickle,cheek,27
breath,fog,air,27
breath,form,cloud,26
breath,tickle,back,24
breath,caress,face,24
breath,brush,ear,23
breath,caress,cheek,23
breath,warm,ear,23
breath,fog,glass,23
breath,warm,neck,22
breath,make,puff,21
breath,fan,cheek,21
breath,warm,cheek,20
breath,tickle,lip,18
breath,touch,cheek,18
breath,tickle,hair,17
breath,cloud,air,15
breath,fill,room,15
breath,brush,face,15
breath,fan,neck,14
breath,fan,ear,14
breath,fan,lip,14
breath,fog,window,14
breath,brush,skin,13
breath,leave,mouth,13
breath,make,sound,13
breath,touch,face,13
breath,escape,mouth,13
breath,brush,neck,13
breath,hit,face,13
breath,warm,face,12
breath,leave,lip,12
breath,fill,ear,12
breath,fill,air,12
breath,pass,lip,12
breath,fill,nostril,11
breath,leave,chest,11
breath,heat,skin,11
breath,fill,space,11
breath,send,chill,11
breath,fan,skin,10
breath,frost,air,10
breath,bath,face,10
breath,steam,air,10
breath,stir,tendril,10
breathing,fill,room,21
breathing,fill,ear,15
breathing,fill,air,13
breeze,ruffle,hair,176
breeze,lift,hair,60
breeze,blow,hair,56
breeze,carry,scent,55
breeze,stir,hair,48
breeze,rustle,leaf,46
breeze,bring,scent,41
breeze,stir,leaf,37
breeze,caress,face,35
breeze,stir,air,31
breeze,touch,face,28
breeze,whip,hair,21
breeze,bring,smell,20
breeze,rustle,tree,20
breeze,carry,sound,18
breeze,caress,skin,18
breeze,carry,smell,18
breeze,tousle,hair,18
breeze,cool,face,17
breeze,stir,tree,17
breeze,cool,cheek,16
breeze,stir,branch,16
breeze,brush,face,15
breeze,stir,curtain,15
breeze,blow,curtain,15
breeze,catch,hair,14
breeze,cool,skin,14
breeze,blow,strand,13
breeze,cool,sweat,12
breeze,hit,face,12
breeze,find,way,12
breeze,kiss,skin,11
breeze,cool,air,11
breeze,tickle,skin,11
breeze,touch,skin,11
breeze,lift,curtain,11
breeze,caress,cheek,11
breeze,tease,hair,11
breeze,stir,grass,10
breeze,ruffle,curtain,10
breeze,ruffle,leaf,10
bride,wear,dress,10
bridge,span,river,27
bridge,cross,river,14
briefing,take,place,10
brightness,hurt,eye,16
brother,shake,head,65
brother,take,care,49
brother,have,idea,36
brother,exchange,glance,28
brother,have,time,23
brother,kill,man,22
brother,have,friend,21
brother,take,turn,21
brother,roll,eye,21
brother,make,decision,21
brother,need,help,20
brother,open,door,20
brother,commit,suicide,19
brother,play,game,19
brother,hold,hand,18
brother,have,lot,18
brother,have,problem,18
brother,have,way,18
brother,give,look,18
brother,have,child,17
brother,ask,question,17
brother,enter,room,17
brother,have,hand,16
brother,raise,eyebrow,15
brother,take,step,15
brother,lose,mind,14
brother,exchange,look,14
brother,have,eye,14
brother,have,point,14
brother,have,sex,14
brother,have,thing,14
brother,marry,woman,14
brother,have,chance,13
brother,take,seat,13
brother,have,back,13
brother,make,fun,12
brother,make,way,12
brother,marry,sister,12
brother,put,arm,12
brother,get,job,12
brother,have,plan,12
brother,take,place,12
brother,live,life,12
brother,say,thing,12
brother,have,hair,11
brother,have,sense,11
brother,have,reason,11
brother,shake,hand,11
brother,spend,time,11
brother,have,issue,10
brother,spend,night,10
brother,know,truth,10
brother,have,look,10
brother,pay,attention,10
brother,tell,truth,10
brother,have,right,10
brother,say,word,10
brother,find,mate,10
bubble,tickle,nose,16
bubble,break,surface,11
building,give,way,35
building,have,window,23
building,have,elevator,22
building,catch,fire,21
building,have,door,19
building,have,floor,18
building,have,roof,17
building,line,street,17
building,block,view,17
building,cast,shadow,15
building,have,security,13
building,house,office,12
building,have,wall,12
building,have,camera,11
building,have,system,11
building,have,room,10
building,have,lot,10
bulb,cast,light,14
bulk,fill,doorway,10
bull,lower,head,13
bullet,find,mark,48
bullet,graze,shoulder,26
bullet,have,effect,23
bullet,enter,body,23
bullet,hit,wall,21
bullet,hit,target,21
bullet,shatter,window,20
bullet,strike,wall,20
bullet,miss,heart,20
bullet,tear,hole,19
bullet,find,target,17
bullet,punch,hole,16
bullet,graze,arm,16
bullet,graze,side,15
bullet,hit,ground,15
bullet,enter,chest,15
bullet,make,hole,14
bullet,enter,skull,13
bullet,hit,artery,12
bullet,hit,man,12
bullet,hit,shoulder,12
bullet,hit,tree,12
bullet,kick,dirt,12
bullet,strike,home,12
bullet,graze,head,11
bullet,hit,mark,11
bullet,end,life,11
bullet,strike,rock,10
bullet,penetrate,skull,10
bullet,miss,head,10
bullet,leave,gun,10
bullet,strike,ground,10
bump,run,arm,20
bump,prickle,skin,18
bump,cover,skin,15
bump,cover,arm,12
burglary,take,place,11
burial,take,place,23
burst,draw,attention,10
bus,turn,corner,16
bus,make,way,13
bus,make,turn,12
business,take,care,29
business,take,place,20
business,make,sense,13
business,make,money,10
butler,open,door,72
butler,answer,door,22
butler,close,door,17
butler,shake,head,16
butler,enter,room,11
butt,hit,floor,17
butt,hit,seat,13
butterfly,take,flight,63
butterfly,flap,wing,24
butterfly,fill,stomach,13
buzz,fill,air,33
buzz,fill,room,12
buzz,fill,ear,10
buzzing,fill,ear,14
buzzing,fill,head,12
byla,krvavá,pláče,17
byla,pohybující,horečně,17
byla,rychlá,bylo,17
byla,rychlá,poslouchat,17
bylo,světlo,mužský,17
bébé,ride,moi,28
cab,turn,corner,15
cabin,have,room,12
cabinet,line,wall,38
call,take,place,19
call,last,minute,17
call,bring,news,14
call,fill,air,10
caller,leave,message,11
camera,take,picture,17
camera,get,shot,16
camera,catch,face,15
camera,add,pound,15
camera,capture,image,13
camera,have,view,10
candle,give,light,22
candle,cast,light,20
candle,provide,light,19
candle,cast,shadow,17
candle,light,room,16
candle,cast,glow,15
candle,illuminate,room,13
candlelight,throw,shadow,14
cannon,open,fire,10
cap,cover,hair,25
cap,cover,head,13
captain,shake,head,120
captain,give,order,52
captain,clear,throat,25
captain,have,idea,19
captain,have,time,18
captain,hold,hand,17
captain,make,way,15
captain,take,step,15
captain,give,look,14
captain,raise,hand,14
captain,ask,question,13
captain,take,breath,13
captain,turn,sign,13
captain,put,hand,13
captain,shout,order,12
captain,turn,attention,12
captain,raise,eyebrow,11
captain,bark,order,11
captain,return,salute,11
captain,enter,room,10
captain,open,door,10
captain,purse,lip,10
captain,have,choice,10
captain,lead,way,10
car,turn,corner,80
car,make,turn,67
car,pick,speed,64
car,make,way,40
car,round,corner,37
car,have,plate,36
car,park,front,34
car,turn,road,29
car,honk,horn,20
car,leave,road,20
car,have,tire,19
car,gain,speed,18
car,line,street,18
car,make,noise,18
car,pull,driveway,15
car,blare,horn,15
car,hit,tree,15
car,line,side,15
car,wind,way,15
car,have,seat,14
car,have,conditioning,14
car,turn,street,14
car,round,bend,13
car,attract,attention,12
car,climb,hill,12
car,catch,attention,12
car,take,turn,12
car,catch,fire,12
car,leave,lot,12
car,block,entrance,11
car,have,headlight,11
car,drive,road,11
car,round,curve,11
car,take,corner,11
car,fill,lot,10
car,hit,bump,10
car,hit,water,10
car,fill,street,10
car,lose,control,10
car,have,mile,10
car,reach,end,10
car,draw,attention,10
caravan,make,way,15
card,have,number,17
card,bear,name,11
card,have,name,11
carpet,cover,floor,110
carpet,muffle,footstep,11
carpet,give,way,11
carpeting,cover,floor,10
carriage,make,way,13
carriage,turn,corner,12
carriage,hit,bump,11
carriage,pick,speed,11
cart,make,way,10
case,take,turn,25
case,line,wall,17
case,attract,attention,14
case,make,sense,14
case,take,place,12
case,have,potential,10
cassidy,shake,head,12
cat,have,kitten,26
cat,get,tongue,24
cat,have,life,17
cat,shake,head,15
cat,make,sound,15
cat,watch,mouse,14
cat,arch,back,14
cat,open,eye,14
cat,give,look,13
cat,make,noise,12
cat,have,tongue,12
cat,turn,head,12
cat,raise,head,11
cat,give,birth,11
cat,close,eye,10
cat,cross,path,10
cat,lift,head,10
ce,grand,brun,28
ceiling,give,way,17
celebration,take,place,29
cell,have,window,10
center,snap,ball,13
centurion,shake,head,17
ceremony,take,place,191
chain,have,link,21
chain,round,neck,20
chair,scrap,floor,41
chair,surround,table,15
chair,make,sound,14
chair,line,wall,13
chair,face,window,12
chair,face,desk,11
chair,flank,table,10
chance,shake,head,28
change,take,place,276
change,have,effect,28
change,make,difference,24
change,take,time,11
character,have,existence,123
chatter,fill,air,14
chauffeur,open,door,64
chauffeur,hold,door,14
chauffeur,close,door,13
cheek,flush,red,115
cheek,turn,shade,112
cheek,turn,red,104
cheek,flush,pink,40
cheek,burn,red,37
cheek,turn,pink,22
cheek,turn,color,22
cheek,turn,crimson,20
cheek,flush,shade,20
cheek,flush,crimson,19
cheek,have,glow,14
cheek,have,color,13
cheek,flame,red,13
cheek,catch,fire,12
cheek,take,hue,11
cheek,burn,crimson,11
cheek,flush,scarlet,10
chick,dig,scar,15
chicken,cross,road,19
chicken,lay,egg,13
chief,shake,head,42
chief,clear,throat,12
child,have,chance,56
child,play,game,48
child,have,time,45
child,shake,head,43
child,have,father,36
child,attend,school,31
child,have,right,31
child,have,power,28
child,need,mother,27
child,have,child,27
child,ask,question,26
child,make,way,24
child,hold,hand,24
child,have,idea,24
child,have,name,24
child,have,way,23
child,have,hair,21
child,find,way,19
child,have,eye,19
child,need,parent,19
child,spend,time,19
child,take,place,19
child,need,father,18
child,have,parent,18
child,open,eye,18
child,have,mother,17
child,have,sense,16
child,say,thing,16
child,have,life,15
child,lose,parent,15
child,pay,price,14
child,take,turn,14
child,need,help,14
child,take,care,13
child,take,part,13
child,pay,attention,13
child,take,step,13
child,have,place,13
child,live,life,12
child,lose,mother,12
child,turn,head,12
child,spend,night,12
child,have,ability,12
child,see,thing,12
child,have,future,12
child,open,door,11
child,open,mouth,11
child,have,gift,11
child,sing,song,11
child,have,difficulty,11
child,make,noise,11
child,bear,resemblance,11
child,lead,life,10
child,have,opportunity,10
child,take,breath,10
child,have,memory,10
child,make,sense,10
child,reach,age,10
child,have,choice,10
child,leave,home,10
child,spend,hour,10
chill,run,spine,184
chill,race,spine,54
chill,creep,spine,52
chill,shoot,spine,39
chill,work,way,24
chill,run,back,22
chill,snake,spine,21
chill,slither,spine,18
chill,ripple,spine,13
chill,travel,spine,13
chill,run,arm,13
chill,crawl,spine,12
chill,fill,air,11
chill,slide,spine,11
chill,prickle,skin,11
chill,sweep,spine,11
chill,creep,back,10
chill,race,arm,10
chime,announce,arrival,15
chin,touch,chest,34
chin,hit,chest,25
chin,raise,chest,12
choice,have,consequence,29
choice,make,sense,17
choir,sing,hymn,11
chorus,fill,air,12
chuckle,escape,lip,46
chuckle,escape,throat,23
chuckle,send,shiver,13
chuckle,fill,room,10
circle,ring,eye,22
circle,rim,eye,19
circle,shadow,eye,19
citizen,have,right,24
city,give,way,18
city,hold,breath,17
city,have,population,15
city,take,name,10
class,have,student,10
clay,shake,head,13
clerk,shake,head,35
clerk,give,look,17
client,answer,question,12
client,commit,crime,10
cliff,give,way,14
clock,strike,hour,84
clock,chime,hour,77
clock,strike,midnight,76
